General information;;;;;Effects;;;Additionally;
UBI ID;Name of the UBI;Description;Threat source (characteristics and potential of the intruder);Object of impact;Privacy violation;Integrity violation;Availability violation;Date when the threat was added to the UBI BND;Date when the data was last modified
1;Threat of automatic distribution of malicious code in the grid system;"The threat consists in the possibility of introducing and running malicious code on behalf of a trusted process on any of the grid system resource centers and its automatic distribution to all grid system nodes. 
This threat is caused by weaknesses in grid computing technology – a high level of automation with low administratibility of the grid system. 
The implementation of this threat is possible if the violator has the privileges of a legal user of the grid system.";"External intruder with medium potential; Internal intruder with medium potential";Grid system resource centers;1;1;1;20.03.2015;08.02.2019
2;Threat of aggregation of data transmitted in the grid system;"The threat consists in the possibility of disclosure of protected information by the violator by identifying the nodes involved in its processing, collecting, analyzing and summarizing data intercepted in the grid system's data transmission network. 
This threat is caused by the weakness of grid computing technology – the use of unprotected Internet channels as a transport network of the grid system. 
Implementation of this threat is possible if the intruder has: 
forces and resources sufficient to compensate for the extreme distribution of grid tasks between grid system nodes; 
privileges sufficient to intercept data network traffic between grid system elements (nodes)";External intruder with medium potential;Network traffic;1;0;0;20.03.2015;08.02.2019
3;Threat of exploiting weaknesses in cryptographic algorithms and vulnerabilities in their implementation software;"The threat is the ability to identify weaknesses in cryptographic algorithms or vulnerabilities in the software that implements them. 
This threat is caused by weaknesses in cryptographic algorithms, as well as errors in the program code of cryptographic tools, their interface with the system, or their configuration parameters. 
The threat can be implemented if the intruder has information about the encryption tools used in the system, the encryption algorithms implemented in them, and their settings";"External intruder with medium potential; Internal intruder with medium potential";Metadata, system software;1;1;0;20.03.2015;29.11.2020
4;Threat of hardware reset of the BIOS password;"The threat lies in the possibility of resetting passwords set in the BIOS / UEFI without going through the authorization procedure in the system by de-energizing the BIOS chip (removing the battery) or installing a jumper in a regular place on the system board (switching the ""jumper"").
This threat is caused by vulnerabilities in some system (motherboards) – the presence of hardware password reset mechanisms installed in the BIOS/UEFI. 
This threat can be implemented if the intruder has physical access to the computer's system unit";Low-potential domestic intruder;BIOS/UEFI firmware and hardware;0;1;0;20.03.2015;08.02.2019
5;Threat of introducing malicious code in the BIOS;"The threat is the ability to force the BIOS/UEFI to execute malicious code every time the computer starts up by embedding it in the BIOS / UEFI by replacing the BIOS/UEFI chip or updating the BIOS/UEFI software to a version that already contains malicious code. 
This threat is caused by weaknesses in the control technologies for updating the BIOS/UEFI software and replacing the BIOS/UEFI chipset. 
The implementation of this threat is possible during the repair and maintenance of the computer";A high-potential domestic intruder;BIOS/UEFI firmware and hardware;1;1;1;20.03.2015;08.02.2019
6;Threat of code or data injection;"The threat consists in the possibility of an intruder introducing malicious code into a discredited information system or IoT device, which can then be launched ""manually"" by users, automatically if a certain condition is met (the user enters the system on a certain date, etc.) or using authentication data set ""by default"", as well as in the following cases: the possibility of unauthorized introduction of some of the violator's own data for processing into a discredited information system, in fact, having made illegal use of other people's computing resources, and blocking the operation of the device when executing certain commands. 
This threat is caused
by:  software vulnerabilities; 
weaknesses in anti-virus protection and access control measures; 
the presence of an open Telnet port on the IoT device (only for IoT devices).
This threat can be implemented:
if the discredited user works with files coming from untrusted sources; 
if he has software installation privileges;
if the owner does not change the IoT device credentials (factory password and login)";External intruder with low potential;System software, Application software, Network software;1;1;1;20.03.2015;08.02.2019
7;Threat of impact on programs with high privileges;"The threat consists in the possibility of an intruder increasing their privileges in a discredited system (obtaining the privilege of discredited programs) by exploiting errors in programs and executing arbitrary code with their privileges. 
This threat is caused by weaknesses in the input and command validation mechanism, as well as access control measures. 
This threat can be implemented if: 
the discredited program has elevated privileges in the system; 
the discredited program receives input data from other programs or from the user; 
the violator has the ability to transfer data to the discredited program";"External intruder with medium potential; Internal intruder with medium potential";Information system, virtual machine, network software, network traffic;1;1;0;20.03.2015;08.02.2019
8;Threat of recovery and / or reuse of authentication information;"The threat consists in the possibility of accessing user data as a result of selecting (for example, by full search or dictionary search) the authentication information of the discredited user account in the system, as well as by intercepting and reusing the password hash to restore the session.
This threat is caused by the following disadvantages: 
significantly smaller amount of data for the hash code of authentication information compared to it itself (the time for selecting hash codes is less than the time for full search of authentication information); 
weaknesses in the hash code calculation algorithm that allow it to be reused for successful authentication. 
Implementation of this threat is possible with the help of special software tools, as well as in some cases – ""manually""";"External intruder with low potential; Internal intruder with low potential";System software, firmware, user credentials;1;0;0;20.03.2015;15.11.2019
9;Threat to restore a previous vulnerable BIOS version;"The threat lies in the possibility of making a forced transition to using the BIOS/UEFI containing vulnerabilities. 
This threat is caused by weaknesses in the BIOS/UEFI software update monitoring technologies. 
When using the BIOS/UEFI update technology, the following situation may occur (the conditions that characterize the situation are listed in chronological order): 
a certain version of BIOS/UEFI is installed on the computer, for which no vulnerabilities are known at the time of its operation; 
due to some circumstances, the BIOS / UEFI undergoes the update procedure, while maintaining the previous version of the BIOS/ UEFI in case of a"" rollback "" of the system; 
data is published about the existence of vulnerabilities in the previous version of the BIOS/UEFI; 
the system crashes, as a result of which the current (new) version of the BIOS / UEFI becomes inoperable (for example, its integrity is violated); 
the user performs the standard procedure for restoring the system's health – performs the following operations: ""rollback"" of the system to the previous working state";Low-potential domestic intruder;BIOS/UEFI Firmware;1;1;1;20.03.2015;08.02.2019
